client_id,total_transactions,total_spent,avg_transaction,largest_transaction,current_age,gender,yearly_income,total_debt,num_credit_cards,description
0,12795,625799.67,48.90970457209848,1128.47,33,Male,$59613,$36199,4,Miscellaneous Fabricated Metal Products
1,10073,336187.37,33.37509877891393,937.15,43,Female,$45360,$14587,3,"Bolt, Nut, Screw, Rivet Manufacturing"
2,10612,291534.27,27.472132491519037,519.02,48,Male,$27447,$80850,5,Steelworks
3,6001,280685.46,46.77311448091985,990.2,49,Male,$27943,$18693,4,Pottery and Ceramics
4,15043,595722.36,39.60130027255202,1624.15,54,Female,$76431,$115362,5,Hospitals
5,4777,292902.6,61.31517688926104,1577.19,65,Male,$20614,$14042,2,Steel Products Manufacturing
11,9994,585903.46,58.62552131278767,1540.17,39,Female,$67643,$0,6,Upholstery and Drapery Stores
13,7109,242998.23,34.181773807849204,764.65,52,Female,$32378,$65919,4,"Brick, Stone, and Related Materials"
14,5843,233831.77,40.01912887215472,2069.79,79,Female,$32232,$21134,5,Cruise Lines
16,6829,378672.72,55.450683848294034,1043.75,75,Male,$22158,$19101,5,Pottery and Ceramics
17,17719,793586.04,44.78729273661042,1473.01,76,Male,$21867,$21103,2,Travel Agencies
19,3268,54420.25,16.65246328029376,240.09,82,Female,$34903,$1336,1,Wholesale Clubs
20,11240,280935.52,24.99426334519573,2294.12,86,Female,$23371,$0,8,Cruise Lines
21,8783,289834.49,32.99948650802687,1173.55,48,Male,$43084,$0,3,Cruise Lines
22,2979,97891.4,32.8604900973481,884.43,56,Male,$53966,$135478,1,Electronics Stores
24,8682,358963.05,41.345663441603314,1897.1,48,Female,$38554,$47186,1,Cruise Lines
27,9784,413891.13,42.302854660670484,815.93,78,Female,$23821,$22427,8,Floor Covering Stores
28,6571,409356.92,62.29750722873231,1307.03,39,Female,$54273,$110237,4,"Tools, Parts, Supplies Manufacturing"
32,8402,317816.06,37.8262389907165,1109.33,82,Female,$52315,$3174,4,Miscellaneous Fabricated Metal Products
33,10746,520819.9,48.46639679880886,682.61,77,Female,$38692,$8902,5,Floor Covering Stores
34,14582,766659.22,52.57572486627348,1546.44,41,Male,$51854,$72162,2,Miscellaneous Metals
37,15275,399399.8,26.147286415711946,2101.58,41,Female,$34690,$48954,4,Cruise Lines
38,13629,512966.48,37.63786631447648,1530.97,45,Female,$40006,$72794,1,Cruise Lines
39,15212,887819.44,58.36309755456218,2108.95,54,Female,$61740,$126015,2,Hospitals
40,6478,175990.65,27.167435937017597,1589.85,71,Male,$29243,$30686,4,Cruise Lines
42,8602,223104.23,25.936320623110905,537.24,78,Female,$8526,$3723,3,Upholstery and Drapery Stores
44,8020,352838.76,43.994857855361595,1148.97,85,Male,$38194,$1674,3,"Bolt, Nut, Screw, Rivet Manufacturing"
45,6229,80018.39,12.846105313854551,512.13,61,Female,$63781,$111808,1,Department Stores
46,9433,439052.25,46.544286017173754,2318.02,62,Male,$53996,$98211,4,Cruise Lines
