,month,merchant_category,transactions,total_spent,avg_spent
0,2010-01,1711,30,3976.71,132.557
1,2010-01,3000,21,13215.43,629.3061904761905
2,2010-01,3001,24,18043.09,751.7954166666667
3,2010-01,3005,4,2582.63,645.6575
4,2010-01,3006,2,1460.65,730.325
5,2010-01,3007,2,2031.8600000000001,1015.9300000000001
6,2010-01,3008,3,2492.0699999999997,830.6899999999999
7,2010-01,3009,4,4005.87,1001.4675
8,2010-01,3058,20,14013.92,700.696
9,2010-01,3066,20,16695.55,834.7774999999999
10,2010-01,3075,1,280.67,280.67
11,2010-01,3132,28,19941.48,712.1957142857143
12,2010-01,3144,6,4094.61,682.4350000000001
13,2010-01,3174,20,13374.43,668.7215
14,2010-01,3256,21,16054.05,764.4785714285714
15,2010-01,3260,25,20716.44,828.6576
16,2010-01,3359,82,3948.2599999999998,48.14951219512195
17,2010-01,3387,61,5467.31,89.62803278688526
18,2010-01,3389,81,4058.31,50.10259259259259
19,2010-01,3390,46,2270.04,49.34869565217391
20,2010-01,3393,66,5285.1,80.07727272727273
21,2010-01,3395,69,3443.86,49.91101449275362
22,2010-01,3405,77,5200.38,67.5374025974026
23,2010-01,3504,102,5954.15,58.37401960784313
24,2010-01,3509,110,6917.43,62.88572727272727
25,2010-01,3596,122,10595.63,86.8494262295082
26,2010-01,3640,109,9279.39,85.13201834862384
27,2010-01,3684,140,10297.89,73.55635714285714
28,2010-01,3722,131,8272.01,63.14511450381679
29,2010-01,3730,93,7855.86,84.4716129032258
30,2010-01,3771,126,8770.24,69.60507936507936
31,2010-01,3775,106,11439.93,107.92386792452831
32,2010-01,3780,95,5488.15,57.769999999999996
33,2010-01,4111,624,55726.84,89.30583333333333
34,2010-01,4112,15,4557.93,303.862
35,2010-01,4121,3934,90360.03,22.968995932892728
36,2010-01,4131,24,1753.39,73.05791666666667
37,2010-01,4214,758,11284.95,14.887796833773088
38,2010-01,4411,6,5903.24,983.8733333333333
39,2010-01,4511,20,15724.15,786.2075
40,2010-01,4722,232,36682.48,158.1141379310345
41,2010-01,4784,4561,159666.77,35.00696557772418
42,2010-01,4814,1678,189172.95,112.73715733015496
43,2010-01,4829,4619,417340.0,90.35289023598182
44,2010-01,4899,429,61168.82,142.584662004662
45,2010-01,4900,1841,209036.61,113.54514394350896
46,2010-01,5045,22,3314.81,150.6731818181818
47,2010-01,5094,33,1532.76,46.447272727272725
48,2010-01,5192,77,2965.88,38.51792207792208
49,2010-01,5193,87,3210.09,36.897586206896555
50,2010-01,5211,1316,59499.04,45.21203647416414
51,2010-01,5251,308,12757.19,41.41944805194805
52,2010-01,5261,57,2413.36,42.33964912280702
53,2010-01,5300,4608,300450.81,65.20199869791666
54,2010-01,5310,1800,74795.81,41.55322777777778
55,2010-01,5311,3588,202840.0,56.53288740245262
56,2010-01,5411,12111,313589.94,25.892984889769632
57,2010-01,5499,11405,125418.13,10.996767207365192
58,2010-01,5533,6,2425.61,404.2683333333334
59,2010-01,5541,11081,226216.57,20.414815449869145
60,2010-01,5621,104,6714.97,64.56701923076923
61,2010-01,5651,533,29548.82,55.43868667917448
62,2010-01,5655,122,7658.2,62.77213114754098
63,2010-01,5661,101,7479.7699999999995,74.05712871287128
64,2010-01,5712,35,12037.49,343.9282857142857
65,2010-01,5719,643,32768.45,50.96181959564541
66,2010-01,5722,2,453.5,226.75
67,2010-01,5732,52,6035.8,116.07307692307693
68,2010-01,5733,3,736.9399999999999,245.64666666666665
69,2010-01,5812,7654,209786.48,27.408737914815784
70,2010-01,5813,2011,49886.41,24.806767777225264
71,2010-01,5814,3815,101935.15,26.71956749672346
72,2010-01,5815,488,6353.08,13.01860655737705
73,2010-01,5816,27,4980.3099999999995,184.4559259259259
74,2010-01,5912,5781,265298.91,45.891525687597294
75,2010-01,5921,913,9508.14,10.414173055859802
76,2010-01,5932,47,10506.52,223.54297872340427
77,2010-01,5941,3,158.87,52.95666666666667
78,2010-01,5942,1672,32528.62,19.454916267942583
79,2010-01,5947,18,226.58,12.587777777777779
80,2010-01,5970,535,23206.37,43.37639252336449
81,2010-01,5977,55,676.67,12.303090909090908
82,2010-01,6300,396,85980.58,217.12267676767678
83,2010-01,7011,155,8277.04,53.40025806451614
84,2010-01,7210,233,4575.63,19.637896995708154
85,2010-01,7230,803,38641.41,48.12130759651308
86,2010-01,7276,18,3887.32,215.96222222222224
87,2010-01,7349,386,15005.06,38.87321243523316
88,2010-01,7393,103,3120.34,30.29456310679612
89,2010-01,7531,9,3098.77,344.3077777777778
90,2010-01,7538,3544,181942.91,51.33829288939052
91,2010-01,7542,269,3786.43,14.075947955390333
92,2010-01,7549,11,3432.58,312.0527272727273
93,2010-01,7801,150,22759.02,151.7268
94,2010-01,7802,149,21727.17,145.81993288590604
95,2010-01,7832,1063,29346.01,27.606782690498587
96,2010-01,7922,315,27349.92,86.82514285714285
97,2010-01,7995,299,50542.36,169.0379933110368
98,2010-01,7996,93,14538.81,156.33129032258063
99,2010-01,8011,163,28552.93,175.17134969325153
100,2010-01,8021,231,34987.44,151.46077922077924
101,2010-01,8041,70,10816.06,154.51514285714285
102,2010-01,8043,101,11958.22,118.39821782178217
103,2010-01,8049,76,10788.39,141.9525
104,2010-01,8062,30,19616.0,653.8666666666667
105,2010-01,8099,97,10179.5,104.94329896907216
106,2010-01,8111,65,36959.52,568.608
107,2010-01,8931,32,5170.85,161.5890625
108,2010-01,9402,647,9674.24,14.952457496136011
109,2010-02,1711,29,4301.0,148.31034482758622
110,2010-02,3000,25,17202.35,688.0939999999999
111,2010-02,3001,31,22813.13,735.9074193548388
112,2010-02,3005,2,1424.62,712.31
113,2010-02,3007,5,4226.38,845.2760000000001
114,2010-02,3008,6,4620.35,770.0583333333334
115,2010-02,3009,2,991.77,495.885
116,2010-02,3058,27,17747.38,657.3103703703704
117,2010-02,3066,30,19810.27,660.3423333333334
118,2010-02,3075,6,3648.4900000000002,608.0816666666667
119,2010-02,3132,22,15263.57,693.7986363636363
120,2010-02,3144,2,1639.9,819.95
121,2010-02,3174,22,18237.13,828.9604545454546
122,2010-02,3256,27,21030.47,778.9062962962963
123,2010-02,3260,19,13512.95,711.2078947368421
124,2010-02,3359,82,4492.51,54.78670731707317
125,2010-02,3387,62,2696.74,43.4958064516129
126,2010-02,3389,74,5350.51,72.30418918918919
127,2010-02,3390,64,5506.42,86.0378125
128,2010-02,3393,48,2583.76,53.82833333333334
129,2010-02,3395,62,4706.53,75.91177419354838
130,2010-02,3405,55,3294.73,59.90418181818182
131,2010-02,3504,106,7915.86,74.67792452830189
132,2010-02,3509,131,11183.73,85.37198473282443
133,2010-02,3596,118,9356.68,79.29389830508475
134,2010-02,3640,134,10855.74,81.01298507462687
135,2010-02,3684,116,9777.74,84.29086206896551
136,2010-02,3722,117,9240.43,78.97803418803419
137,2010-02,3730,111,8689.2,78.28108108108108
138,2010-02,3771,79,6564.69,83.09734177215189
139,2010-02,3775,55,3921.56,71.3010909090909
140,2010-02,3780,137,9395.02,68.57678832116788
141,2010-02,4111,593,54340.16,91.6360202360877
142,2010-02,4112,22,5353.36,243.33454545454543
143,2010-02,4121,3502,82336.54,23.511290691033693
144,2010-02,4131,15,1093.07,72.87133333333333
145,2010-02,4214,643,9837.79,15.299828926905134
146,2010-02,4411,9,18606.0,2067.3333333333335
147,2010-02,4511,19,14359.58,755.7673684210527
148,2010-02,4722,199,19462.23,97.80015075376885
149,2010-02,4784,4180,147144.34,35.201995215311
150,2010-02,4814,1474,170598.49,115.73845997286296
151,2010-02,4829,4343,389600.0,89.70757540870366
152,2010-02,4899,376,54501.57,144.9509840425532
153,2010-02,4900,1777,203734.76,114.65096229600451
154,2010-02,5045,28,3755.9,134.1392857142857
155,2010-02,5094,33,1917.75,58.11363636363637
156,2010-02,5192,74,3072.69,41.52283783783784
157,2010-02,5193,61,2260.24,37.05311475409836
158,2010-02,5211,1131,51837.08,45.83296198054819
159,2010-02,5251,239,10277.43,43.00179916317992
160,2010-02,5261,58,2680.51,46.21568965517242
161,2010-02,5300,4381,277237.0,63.28167085140379
162,2010-02,5310,1735,75444.13,43.483648414985595
163,2010-02,5311,3402,197102.1,57.937125220458555
164,2010-02,5411,11207,288191.62,25.715322566253235
165,2010-02,5499,10383,113096.77,10.892494462101512
166,2010-02,5533,11,4720.92,429.17454545454547
167,2010-02,5541,10155,211314.57,20.808918759231908
168,2010-02,5621,78,5626.53,72.13499999999999
169,2010-02,5651,537,28810.77,53.65134078212291
170,2010-02,5655,122,8380.81,68.69516393442622
171,2010-02,5661,101,8105.09,80.24841584158416
172,2010-02,5712,35,10900.99,311.45685714285713
173,2010-02,5719,660,33926.91,51.4044090909091
174,2010-02,5722,2,665.9300000000001,332.96500000000003
175,2010-02,5732,53,12503.87,235.92207547169812
176,2010-02,5733,4,2099.67,524.9175
177,2010-02,5812,6893,187811.68,27.246725663716813
178,2010-02,5813,1737,43764.54,25.195474956822107
179,2010-02,5814,3600,97024.11,26.95114166666667
180,2010-02,5815,477,6645.7,13.932285115303984
181,2010-02,5816,21,2923.19,139.1995238095238
182,2010-02,5912,5313,243238.43,45.78174854131376
183,2010-02,5921,931,9920.44,10.655682062298604
184,2010-02,5932,39,5929.0,152.02564102564102
185,2010-02,5941,10,350.68,35.068
186,2010-02,5942,1675,35084.04,20.94569552238806
187,2010-02,5947,11,134.56,12.232727272727272
188,2010-02,5970,449,19763.84,44.017461024498886
189,2010-02,5977,48,542.02,11.292083333333332
190,2010-02,6300,373,89980.66,241.23501340482574
191,2010-02,7011,110,8943.61,81.30554545454547
192,2010-02,7210,213,3875.71,18.19582159624413
193,2010-02,7230,737,34608.24,46.958263229308
194,2010-02,7276,19,3743.84,197.0442105263158
195,2010-02,7349,322,12942.83,40.195124223602484
196,2010-02,7393,86,2492.06,28.977441860465117
197,2010-02,7531,12,3957.14,329.76166666666666
198,2010-02,7538,3256,171256.85,52.59731265356265
199,2010-02,7542,275,3870.39,14.074145454545453
200,2010-02,7549,2,502.53999999999996,251.26999999999998
201,2010-02,7801,134,18547.36,138.4131343283582
202,2010-02,7802,121,16504.51,136.40090909090907
203,2010-02,7832,1032,28053.15,27.183284883720933
204,2010-02,7922,295,27369.48,92.77789830508475
205,2010-02,7995,213,36940.78,173.43089201877933
206,2010-02,7996,91,14721.45,161.77417582417584
207,2010-02,8011,167,28924.920000000002,173.2031137724551
208,2010-02,8021,238,36939.52,155.20806722689073
209,2010-02,8041,68,9605.09,141.25132352941176
210,2010-02,8043,112,14908.13,133.10830357142856
211,2010-02,8049,67,10618.32,158.4823880597015
212,2010-02,8062,15,11356.29,757.086
213,2010-02,8099,108,12360.6,114.45
214,2010-02,8111,49,25880.02,528.1636734693877
215,2010-02,8931,22,4019.39,182.69954545454544
216,2010-02,9402,681,10216.35,15.001982378854626
217,2010-03,1711,28,3665.16,130.89857142857142
218,2010-03,3000,28,21944.47,783.7310714285715
219,2010-03,3001,29,17563.48,605.6372413793104
220,2010-03,3005,4,3845.32,961.33
221,2010-03,3006,3,3032.05,1010.6833333333334
222,2010-03,3007,6,5978.94,996.4899999999999
223,2010-03,3008,4,7206.49,1801.6225
224,2010-03,3009,3,2276.65,758.8833333333333
225,2010-03,3058,26,16017.58,616.0607692307692
226,2010-03,3066,24,18407.57,766.9820833333333
227,2010-03,3075,6,6291.8099999999995,1048.635
228,2010-03,3132,35,27422.56,783.5017142857143
229,2010-03,3144,3,1491.06,497.02
230,2010-03,3174,25,16070.710000000001,642.8284
231,2010-03,3256,19,9691.65,510.08684210526314
232,2010-03,3260,30,22569.95,752.3316666666667
233,2010-03,3359,76,4589.12,60.38315789473684
234,2010-03,3387,55,3886.61,70.66563636363637
235,2010-03,3389,85,5814.29,68.40341176470588
236,2010-03,3390,50,2661.32,53.226400000000005
237,2010-03,3393,64,3534.12,55.220625
238,2010-03,3395,57,3400.71,59.66157894736842
239,2010-03,3405,47,3385.66,72.03531914893617
240,2010-03,3504,111,9713.09,87.50531531531531
241,2010-03,3509,116,8623.33,74.33905172413793
242,2010-03,3596,114,8312.03,72.91254385964913
243,2010-03,3640,122,8620.46,70.6595081967213
244,2010-03,3684,129,9438.119999999999,73.16372093023256
245,2010-03,3722,112,9433.97,84.23187499999999
246,2010-03,3730,95,6323.58,66.564
247,2010-03,3771,82,4468.22,54.49048780487805
248,2010-03,3775,111,10027.48,90.33765765765766
249,2010-03,3780,99,8021.12,81.02141414141414
250,2010-03,4111,743,68809.34,92.61014804845222
251,2010-03,4112,20,4366.4,218.32
252,2010-03,4121,3748,87320.71,23.297948239060833
253,2010-03,4131,19,1575.3,82.91052631578947
254,2010-03,4214,736,10860.18,14.755679347826087
255,2010-03,4411,5,14143.42,2828.684
256,2010-03,4511,23,18088.39,786.4517391304347
257,2010-03,4722,250,37567.88,150.27151999999998
258,2010-03,4784,4454,155318.14,34.871607543780875
259,2010-03,4814,1756,203998.73,116.17239749430524
260,2010-03,4829,4656,417840.0,89.74226804123711
261,2010-03,4899,420,59875.23,142.56007142857143
262,2010-03,4900,1898,219176.4,115.47755532139094
263,2010-03,5045,25,3818.24,152.7296
264,2010-03,5094,40,2531.4,63.285000000000004
265,2010-03,5192,85,3448.2599999999998,40.56776470588235
266,2010-03,5193,77,3338.59,43.35831168831169
267,2010-03,5211,1456,66024.66,45.346607142857145
268,2010-03,5251,286,11471.89,40.111503496503495
269,2010-03,5261,73,4001.49,54.81493150684931
270,2010-03,5300,4918,305309.7,62.08005286701911
271,2010-03,5310,1929,83623.23,43.3505598755832
272,2010-03,5311,3717,216181.9,58.16031746031746
273,2010-03,5411,12232,313693.46,25.64531229561805
274,2010-03,5499,11495,127363.1,11.079869508481949
275,2010-03,5533,9,3538.0,393.1111111111111
276,2010-03,5541,11335,239801.2,21.155818262020293
277,2010-03,5621,79,4669.26,59.10455696202532
278,2010-03,5651,610,35905.37,58.86126229508197
279,2010-03,5655,111,8092.78,72.90792792792793
280,2010-03,5661,124,9196.6,74.16612903225807
281,2010-03,5712,33,9994.46,302.8624242424242
282,2010-03,5719,698,36173.89,51.82505730659026
283,2010-03,5722,2,400.81,200.405
284,2010-03,5732,65,10268.83,157.982
285,2010-03,5733,6,1098.79,183.13166666666666
286,2010-03,5812,7487,196375.84,26.228908775210364
287,2010-03,5813,1844,46437.18,25.182852494577006
288,2010-03,5814,3794,102208.19,26.939428044280444
289,2010-03,5815,529,7213.07,13.635293005671077
290,2010-03,5816,40,6765.01,169.12525
291,2010-03,5912,6307,290021.73,45.98410179166006
292,2010-03,5921,1044,11036.77,10.57161877394636
293,2010-03,5932,56,9791.32,174.845
294,2010-03,5941,10,443.73,44.373000000000005
295,2010-03,5942,1852,36803.67,19.87239200863931
296,2010-03,5947,11,103.9,9.445454545454545
297,2010-03,5970,582,24260.92,41.685429553264605
298,2010-03,5977,55,572.21,10.403818181818183
299,2010-03,6300,431,98200.36,227.8430626450116
300,2010-03,7011,125,9305.07,74.44055999999999
301,2010-03,7210,261,4902.53,18.783639846743295
302,2010-03,7230,880,41977.3,47.701477272727274
303,2010-03,7276,23,4003.0299999999997,174.04478260869564
304,2010-03,7349,412,17685.49,42.92594660194175
305,2010-03,7393,111,3581.28,32.263783783783786
306,2010-03,7531,9,3904.16,433.79555555555555
307,2010-03,7538,3593,184811.07,51.43642360144726
308,2010-03,7542,299,4206.24,14.067692307692306
309,2010-03,7549,5,1825.16,365.03200000000004
310,2010-03,7801,125,18534.68,148.27744
311,2010-03,7802,106,16484.08,155.5101886792453
312,2010-03,7832,1060,28492.8,26.88
